Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
200,1.47875e-51,0.117108,5000,0.998047,11.873,0.998047,0,0.0654297,0.0654297
201,1.48164e-51,0.117039,5000,1,11.8799,1,0,0.0517578,0.0517578
202,1.48019e-51,0.117073,5000,0.999023,11.8887,0.999023,0,0.0585938,0.0585938
203,1.48164e-51,0.117039,5000,1,11.9014,1,0,0.0517578,0.0517578
204,1.48164e-51,0.117039,5000,1,11.916,1,0,0.0498047,0.0498047
205,1.48164e-51,0.117039,5000,1,11.8994,1,0,0.0507812,0.0507812
206,1.48164e-51,0.117039,5000,1,11.8779,1,0,0.0488281,0.0488281
207,1.48019e-51,0.117054,5000,1,11.8682,1,0,0.0585938,0.0585938
208,1.48164e-51,0.117039,5000,1,11.873,1,0,0.0566406,0.0566406
209,1.48019e-51,0.117073,5000,0.999023,11.8867,0.999023,0,0.0546875,0.0546875
210,1.48019e-51,0.117054,5000,1,11.8965,1,0,0.0625,0.0625
211,1.48019e-51,0.117073,5000,1,11.873,0.999023,0.000976562,0.0498047,0.0498047
212,1.48164e-51,0.117039,5000,1,11.8691,1,0,0.0507812,0.0507812
213,1.48164e-51,0.117039,5000,1,11.875,1,0,0.0400391,0.0400391
214,1.48019e-51,0.117054,5000,1,11.8623,1,0,0.0488281,0.0488281
215,1.48164e-51,0.117039,5000,1,11.8584,1,0,0.0419922,0.0419922
216,1.48164e-51,0.117039,5000,1,11.8398,1,0,0.0605469,0.0605469
217,1.48019e-51,0.117054,5000,1,11.8457,1,0,0.0488281,0.0488281
218,1.48164e-51,0.117039,5000,1,11.8516,1,0,0.0517578,0.0517578
219,1.48019e-51,0.117073,5000,0.999023,11.8496,0.999023,0,0.0605469,0.0605469
220,1.48164e-51,0.117039,5000,1,11.876,1,0,0.0644531,0.0644531
221,1.47875e-51,0.117069,5000,1,11.874,1,0,0.0371094,0.0371094
222,1.48164e-51,0.117039,5000,1,11.8662,1,0,0.0380859,0.0380859
223,1.48164e-51,0.117039,5000,1,11.8447,1,0,0.0498047,0.0498047
224,1.48019e-51,0.117073,5000,0.999023,11.8418,0.999023,0,0.0517578,0.0517578
225,1.4773e-51,0.117151,5000,0.998047,11.8418,0.998047,0,0.0419922,0.0419922
226,1.48019e-51,0.117073,5000,0.999023,11.8125,0.999023,0,0.0458984,0.0458984
227,1.48164e-51,0.117039,5000,1,11.7959,1,0,0.0458984,0.0458984
228,1.48164e-51,0.117039,5000,1,11.7842,1,0,0.0478516,0.0478516
229,1.48164e-51,0.117039,5000,1,11.8008,1,0,0.0546875,0.0546875
230,1.48019e-51,0.117073,5000,0.999023,11.7979,0.999023,0,0.0439453,0.0439453
231,1.48019e-51,0.117054,5000,1,11.7998,1,0,0.0546875,0.0546875
232,1.48019e-51,0.117073,5000,0.999023,11.8281,0.999023,0,0.0410156,0.0410156
233,1.48019e-51,0.117067,5000,1,11.8438,1,0,0.0634766,0.0634766
234,1.48019e-51,0.117073,5000,0.999023,11.8506,0.999023,0,0.0527344,0.0527344
235,1.47875e-51,0.117088,5000,0.999023,11.8408,0.999023,0,0.0488281,0.0488281
236,1.48164e-51,0.117039,5000,1,11.8506,1,0,0.0478516,0.0478516
237,1.47875e-51,0.117088,5000,0.999023,11.8467,0.999023,0,0.0478516,0.0478516
238,1.48164e-51,0.117039,5000,1,11.8564,1,0,0.0498047,0.0498047
239,1.48019e-51,0.117073,5000,0.999023,11.8408,0.999023,0,0.0458984,0.0458984
240,1.48164e-51,0.117039,5000,1,11.8545,1,0,0.046875,0.046875
241,1.48164e-51,0.117039,5000,1,11.8574,1,0,0.0517578,0.0517578
242,1.48019e-51,0.117054,5000,1,11.876,1,0,0.0605469,0.0605469
243,1.48164e-51,0.117039,5000,1,11.8604,1,0,0.0419922,0.0419922
244,1.48164e-51,0.117039,5000,1,11.8672,1,0,0.0439453,0.0439453
245,1.48164e-51,0.117039,5000,1,11.8672,1,0,0.0517578,0.0517578
246,1.48019e-51,0.117073,5000,1,11.8916,1,0.000976562,0.0517578,0.0517578
247,1.48075e-51,0.11704,5000,1,11.8652,1,0,0.046875,0.046875
248,1.48164e-51,0.117039,5000,1,11.8604,1,0,0.0478516,0.0478516
249,1.47875e-51,0.117069,5000,1,11.8516,1,0,0.0566406,0.0566406
250,1.48164e-51,0.117039,5000,1,11.8262,1,0,0.0371094,0.0371094
251,1.48019e-51,0.117054,5000,1,11.7979,1,0,0.0507812,0.0507812
252,1.48164e-51,0.117039,5000,1,11.7666,1,0,0.0537109,0.0537109
253,1.48164e-51,0.117039,5000,1,11.7422,1,0,0.0488281,0.0488281
254,1.48019e-51,0.117073,5000,0.999023,11.7305,0.999023,0,0.0527344,0.0527344
255,1.48164e-51,0.117039,5000,1,11.7598,1,0,0.0654297,0.0654297
256,1.47875e-51,0.117088,5000,0.999023,11.7178,0.999023,0,0.0498047,0.0498047
257,1.48075e-51,0.11704,5000,1,11.7461,1,0,0.0507812,0.0507812
258,1.48164e-51,0.117039,5000,1,11.7617,1,0,0.0566406,0.0566406
259,1.48019e-51,0.117073,5000,0.999023,11.751,0.999023,0,0.0517578,0.0517578
260,1.48164e-51,0.117039,5000,1,11.7275,1,0,0.0566406,0.0566406
261,1.48164e-51,0.117039,5000,1,11.7227,1,0,0.0488281,0.0488281
262,1.48019e-51,0.117054,5000,1,11.7129,1,0,0.0458984,0.0458984
263,1.48019e-51,0.117073,5000,0.999023,11.7109,0.999023,0,0.0595703,0.0595703
264,1.48164e-51,0.117039,5000,1,11.7266,1,0,0.0478516,0.0478516
265,1.48019e-51,0.117073,5000,0.999023,11.7354,0.999023,0,0.0625,0.0625
266,1.47875e-51,0.117088,5000,0.999023,11.7148,0.999023,0,0.046875,0.046875
267,1.47875e-51,0.117095,5000,0.999023,11.7354,0.999023,0,0.046875,0.046875
268,1.48164e-51,0.117039,5000,1,11.708,1,0,0.0429688,0.0429688
269,1.48019e-51,0.117073,5000,1,11.7197,0.999023,0.000976562,0.0527344,0.0527344
270,1.48019e-51,0.117054,5000,1,11.707,1,0,0.0458984,0.0458984
271,1.48019e-51,0.117054,5000,1,11.7051,1,0,0.0537109,0.0537109
272,1.48019e-51,0.117054,5000,1,11.6895,1,0,0.0585938,0.0585938
273,1.48164e-51,0.117039,5000,1,11.6992,1,0,0.0429688,0.0429688
274,1.48164e-51,0.117039,5000,1,11.6963,1,0,0.0537109,0.0537109
275,1.48164e-51,0.117039,5000,1,11.708,1,0,0.0439453,0.0439453
276,1.48019e-51,0.117073,5000,0.999023,11.7207,0.999023,0,0.0400391,0.0400391
277,1.48164e-51,0.117039,5000,1,11.7188,1,0,0.0478516,0.0478516
278,1.48164e-51,0.117039,5000,1,11.7334,1,0,0.0517578,0.0517578
279,1.48164e-51,0.117039,5000,1,11.751,1,0,0.0546875,0.0546875
280,1.48164e-51,0.117039,5000,1,11.748,1,0,0.0410156,0.0410156
281,1.47875e-51,0.117116,5000,0.999023,11.7441,0.999023,0,0.0400391,0.0400391
282,1.48019e-51,0.117054,5000,1,11.748,1,0,0.0556641,0.0556641
283,1.4793e-51,0.117074,5000,1,11.7119,0.999023,0.000976562,0.0527344,0.0527344
284,1.48164e-51,0.117039,5000,1,11.71,1,0,0.0517578,0.0517578
285,1.48019e-51,0.117073,5000,1,11.6768,0.999023,0.000976562,0.0556641,0.0556641
286,1.48164e-51,0.117039,5000,1,11.6553,1,0,0.0419922,0.0419922
287,1.48019e-51,0.117073,5000,0.999023,11.668,0.999023,0,0.0419922,0.0419922
288,1.48164e-51,0.117039,5000,1,11.6582,1,0,0.0478516,0.0478516
289,1.48164e-51,0.117039,5000,1,11.667,1,0,0.0488281,0.0488281
